cell,formula,cached_value
B152,,"FULL Hydro Test - Per Test (6.5Hr 1 x fitter, 1 x apprentice, 1 day Test gear)"
C152,,ea
D152,,1
E152,='Misc Subbie Rates_Master'!D84,1945
F152,=E152*D152,1945
B153,,Provision of Form 72
C153,,ea
D153,,1
E153,='Misc Subbie Rates_Master'!D86,350
F153,=E153*D153,350
B156,,"Material - Quarry, Misc"
B157,,*HIDDEN - Calc in below 
B158,='Material Rates_Master'!A185,Bedding / Fill Sand
C158,='Material Rates_Master'!B185,m3
E158,='Material Rates_Master'!D185,39.75
F158,=E158*D158,0
B159,='Material Rates_Master'!A186,CBR 45/2.5 Roadbase
C159,='Material Rates_Master'!B186,m3
E159,='Material Rates_Master'!D186,41.9
F159,=E159*D159,0
B160,='Material Rates_Master'!A187,Turf Underlay/Topsoil
C160,='Material Rates_Master'!B187,m3
E160,='Material Rates_Master'!D187,45.25
F160,=E160*D160,0
B161,='Material Rates_Master'!A188,Standard Garden Woodchip
C161,='Material Rates_Master'!B188,m3
E161,='Material Rates_Master'!D188,87
F161,=E161*D161,0
B162,='Material Rates_Master'!A189,Turf - Standard Couch or Similar
C162,='Material Rates_Master'!B189,Slab (.5m2)
E162,='Material Rates_Master'!D189,6.48
F162,=E162*D162,0
B164,='Material Rates_Master'!A193,Cement Stabalized Sand (3-5%)
C164,='Material Rates_Master'!B193,m3
E164,='Material Rates_Master'!D193,169
F164,=E164*D164,0
B165,='Material Rates_Master'!A194,Exposed Agg Concrete - Standard/Cheapest Exposed Agg Stone
C165,='Material Rates_Master'!B194,m3
E165,='Material Rates_Master'!D194,252
F165,=E165*D165,0
B166,='Material Rates_Master'!A195,N25 20mm 80 Slump Concrete
C166,='Material Rates_Master'!B195,m3
E166,='Material Rates_Master'!D195,263
F166,=E166*D166,0
B168,,"Valve Margin strips; Concrete slab, 1 directions sign, 3 x valve No sign."
C168,,ea
E168,,380
F168,=E168*D168,0
B171,,FIRE SERVICES - INGROUND
