cell,formula,cached_value
D179,,ea
E179,,501
F179,=C179*E179,0
B180,,Class D - Galv - Grate & Frame - 900SQ
D180,,ea
E180,,410
F180,=C180*E180,0
B181,,600x900 CL D Galv 2 Part Heelguard
D181,,ea
E181,,390
F181,=C181*E181,0
B182,,Class D - Galv - Grate & Frame - 600*900
C182,,16
D182,,ea
E182,,298
F182,=C182*E182,4768
B183,,600x900 Solid lid
D183,,ea
E183,,572
F183,=C183*E183,0
B184,,Class D - Galv - Grate & Frame - 1200*900
D184,,ea
E184,,829
F184,=C184*E184,0
B185,,Class D - Galv - Grate & Frame - 1200*1200
D185,,ea
E185,,530.4
F185,=C185*E185,0
B186,,Class B - Galv - Grate & Frame - Concrete Surround - 450SQ
B187,,Class B - Galv - Grate & Frame - Concrete Surround - 600SQ
B188,,Class B - Galv - Grate & Frame - Concrete Surround - 900SQ
B189,,Class B - Galv - Grate & Frame - Concrete Surround - 600*900
B190,,Class D - Galv - Grate & Frame - Concrete Surround - 450SQ
B191,,Class D - Galv - Grate & Frame - Concrete Surround - 600SQ
B192,,Class D - Galv - Grate & Frame - Concrete Surround - 900SQ
D192,,ea
E192,,351
F192,=C192*E192,0
B193,,Class D - Galv - Grate & Frame - Concrete Surround - 600*900
B201,,2.4mt (1.8M C/O) kerb entry- Creek unit centre c/w 900x600 Class D Gully grate Creek
D201,,ea
E201,,1780
F201,=C201*E201,0
B202,," INLET (ON-GRADE, 2.4 m RGU)"
C202,,28
D202,,ea
E202,,1350
F202,=C202*E202,37800
B203,,"INLET (SAG, 2.4 m RGU)"
C203,,5
D203,,ea
E203,,1350
F203,=C203*E203,6750
B204,,Pit Base Unit 900 x 600 x 900mm
D204,,ea
E204,,402
F204,=C204*E204,0
B205,,ASPRO S/W 1050 X 1350 X 175 600 - 600 ROUND HOLE
D205,,ea
E205,,295
F205,=C205*E205,0
B206,,ASPRO S/W 1050 X 1350 X 175 600 - 900X900  ROUND HOLE
D206,,ea
F206,=C206*E206,0
B207,,ASPRO S/W 1050 X 1350 X 175 600 - 600*900  HOLE
C207,,13
D207,,ea
E207,,400
F207,=C207*E207,5200
B208,,ASPRO S/W 1200 X 1650 X 175 9 X 9 - 600 ROUND HOLE
D208,,ea
F208,=C208*E208,0
B209,,ASPRO S/W 1200 X 1650 X 175 9 X 9 - 900 X 900 HOLE
D209,,ea
E209,,600
F209,=C209*E209,0
B210,,ASPRO S/W 1200 X 1650 X 175 9 X 9 - 600*900 HOLE
C210,,3
D210,,ea
E210,,400
F210,=C210*E210,1200
B211,,ASPRO S/W 1500 X 1950 X 175 9 X 9 - 900*900 HOLE
D211,,ea
E211,,794
F211,=C211*E211,0
B212,,ASPRO S/W 2100 X 2600 X  250        - 600*900  HOLE
D212,,ea
E212,,1800
F212,=C212*E212,0
B214,, DRAINAGE CULVERT INLET/OUTLE (RCBC)
B215,,RCBC 600X300 ((2.4 mtrs per length )
C215,,34
D215,,m
E215,=16425/34,483.0882352941176
F215,=C215*E215,16425
B216,,RCBO 750 X300 ((2.4 mtrs per length )
C216,,6
D216,,m
E216,=3513.6/6,585.6
F216,=C216*E216,3513.6000000000004
B217,,RCBC 900X450 
C217,,28
D217,,m
E217,=16601/28,592.8928571428571
F217,=C217*E217,16601
B218,,RCBC 1200X600
C218,,18
D218,,m
E218,=13747.2/18,763.7333333333333
F218,=C218*E218,13747.2
B219,,RCBC 1500X600
C219,,30
D219,,m
E219,=39854/30,1328.4666666666667
F219,=C219*E219,39854
B220,,RCBC 2700x1200 
C220,,18
D220,,m
E220,=47135/18,2618.6111111111113
F220,=C220*E220,47135
B223,,Headwall to suit 150 PVC Pipe 
C223,,1
D223,,ea
E223,,380
F223,=C223*E223,380
H223,,all allow for headwall 375 from humes 
B224,,Headwall to suit 225 PVC Pipe 
C224,,2
D224,,ea
E224,,380
