cell,formula,cached_value
E173,='Material Rates_Master'!D8*$M$16,1.6779419999999998
F173,=E173*D173,0
E176,='Material Rates_Master'!D9*$M$16,0
B177,,200 EF Coupler
C177,='Material Rates_Master'!B10,ea
E177,='Material Rates_Master'!D10*$M$16,60.8028
F177,=E177*D177,0
B178,,180 EF Coupler
C178,='Material Rates_Master'!B11,ea
E178,='Material Rates_Master'!D11*$M$16,35.493599999999994
F178,=E178*D178,0
B179,,125 EF Coupler
C179,='Material Rates_Master'!B12,ea
E179,='Material Rates_Master'!D12*$M$16,19.471799999999998
F179,=E179*D179,0
B180,,200 EF 45DFeg Bend
C180,='Material Rates_Master'!B13,ea
E180,='Material Rates_Master'!D13*$M$16,150.64079999999998
F180,=E180*D180,0
B181,,180 EF 45DFeg Bend
C181,='Material Rates_Master'!B14,ea
E181,='Material Rates_Master'!D14*$M$16,135.1986
F181,=E181*D181,0
B182,,125 EF 45DFeg Bend
C182,='Material Rates_Master'!B15,ea
E182,='Material Rates_Master'!D15*$M$16,61.67219999999999
F182,=E182*D182,0
B183,,200 EF 90DFeg Bend
C183,='Material Rates_Master'!B16,ea
E183,='Material Rates_Master'!D16*$M$16,150.64079999999998
F183,=E183*D183,0
B184,,180 EF 90DFeg Bend
C184,='Material Rates_Master'!B17,ea
E184,='Material Rates_Master'!D17*$M$16,134.9778
F184,=E184*D184,0
B185,,125 EF 90DFeg Bend
C185,='Material Rates_Master'!B18,ea
E185,='Material Rates_Master'!D18*$M$16,61.61699999999999
F185,=E185*D185,0
B186,,200 EF TEE
C186,='Material Rates_Master'!B19,ea
E186,='Material Rates_Master'!D19*$M$16,151.45499999999998
F186,=E186*D186,0
B187,,180 EF TEE
C187,='Material Rates_Master'!B20,ea
E187,='Material Rates_Master'!D20*$M$16,157.7064
F187,=E187*D187,0
B188,,125 EF TEE
C188,='Material Rates_Master'!B21,ea
E188,='Material Rates_Master'!D21*$M$16,67.96499999999999
F188,=E188*D188,0
B189,,200*180 EF TEE
C189,='Material Rates_Master'!B22,ea
E189,='Material Rates_Master'!D22*$M$16,289.0686
F189,=E189*D189,0
B190,,200*125 EF TEE
C190,='Material Rates_Master'!B23,ea
E190,='Material Rates_Master'!D23*$M$16,301.4196
F190,=E190*D190,0
B191,,180*125 EF TEE
C191,='Material Rates_Master'!B24,ea
E191,='Material Rates_Master'!D24*$M$16,168.53939999999997
F191,=E191*D191,0
B192,,200*180 EF Reducer
C192,='Material Rates_Master'!B25,ea
E192,='Material Rates_Master'!D25*$M$16,173.35559999999998
F192,=E192*D192,0
B193,,180*125 EF Reducer
C193,='Material Rates_Master'!B26,ea
E193,='Material Rates_Master'!D26*$M$16,82.938
F193,=E193*D193,0
B194,,180*32 EF Reducer
C194,='Material Rates_Master'!B27,ea
E194,,65
F194,=E194*D194,0
B195,,"200PE*8""(200m) - MaxiStub W/Backing Ring"
C195,='Material Rates_Master'!B27,ea
