cell,formula,cached_value
E112,='Equip&HIRE_Master'!D44,0
F112,=E112*D112,0
B113,,Sngl Ph_6KVA Genset
C113,,Day
E113,='Equip&HIRE_Master'!D45,0
F113,=E113*D113,0
B114,,Diesel Air Compressor_Trailer
C114,,Day
E114,='Equip&HIRE_Master'!D46,0
F114,=E114*D114,0
B115,,Air Breaker - Heavy
C115,,Day
E115,='Equip&HIRE_Master'!D47,0
F115,=E115*D115,0
B116,,Air Hose <10m
C116,,Day
E116,='Equip&HIRE_Master'!D48,0
F116,=E116*D116,0
B117,,Elec Breaker/Jachammer
C117,,Day
E117,='Equip&HIRE_Master'!D49,0
F117,=E117*D117,0
B118,,Flexdrive Motor Unit
C118,,Day
E118,='Equip&HIRE_Master'!D50,0
F118,=E118*D118,0
B119,,Flexdrive_Pump Shaft
C119,,Day
E119,='Equip&HIRE_Master'!D51,0
F119,=E119*D119,0
B120,,Temporary Power Board
C120,,Day
E120,='Equip&HIRE_Master'!D52,0
F120,=E120*D120,0
E121,='Equip&HIRE_Master'!D53,0
F121,=E121*D121,0
B122,,Dual CabUte
C122,,Day
E122,='Equip&HIRE_Master'!D54,0
F122,=E122*D122,0
B123,,3m3 Skip Bbin 
C123,,per serive
E123,='Equip&HIRE_Master'!D55,230
F123,=E123*D123,0
B124,,plus disposal 
C124,,Tonne 
E124,='Equip&HIRE_Master'!D56,309
F124,=E124*D124,0
B125,,site fee 
C125,,Week
E125,='Equip&HIRE_Master'!D57,35
F125,=E125*D125,0
B126,,~4m3_Skip Bin
C126,,per change over 
E126,='Equip&HIRE_Master'!D58,229.9
F126,=E126*D126,0
B127,,~6m3_Skip Bin
C127,,per change over 
E127,='Equip&HIRE_Master'!D59,239.8
F127,=E127*D127,0
B128,,Plus disposal 
C128,,Tonne 
E128,='Equip&HIRE_Master'!D60,309
F128,=E128*D128,0
B129,,Site fee 
C129,,Week
E129,='Equip&HIRE_Master'!D61,35
F129,=E129*D129,0
B130,,Vacuum Excavator - Vermeer VT250D
C130,,Day
E130,='Equip&HIRE_Master'!D62,295.77
F130,=E130*D130,0
B131,,Vac Trailer – Dry Hire
C131,,Day
E131,='Equip&HIRE_Master'!D63,355
F131,=E131*D131,0
E132,='Equip&HIRE_Master'!D64,0
F132,=E132*D132,0
B133,,TRANSPORT_Ex BRIS - Return
C133,,Day
E133,='Equip&HIRE_Master'!D65,0
F133,=E133*D133,0
B134,,TRANSPORT_Ex ROK - Return
C134,,Hour
E134,='Equip&HIRE_Master'!D66,180
F134,=E134*D134,0
B135,,0-4T Per Hour Delivery Rate
C135,,Hour
E135,='Equip&HIRE_Master'!D67,125
F135,=E135*D135,0
B136,,5 - 9t Transport Hourly Rate 
C136,,Hour
E136,='Equip&HIRE_Master'!D68,160
F136,=E136*D136,0
B137,,10 - 19t Low Loader Hourly rate - Minimum 2 Hour Charge
C137,,Hour
E137,='Equip&HIRE_Master'!D69,200
F137,=E137*D137,0
B139,,FUEL - Average_Candle
C139,,Week
E139,,1850
F139,=E139*D149,0
B141,,Subbies & Misc 
B143,,Surveyor
C143,,ea
E143,='Misc Subbie Rates_Master'!D35,180
F143,=E143*D143,0
B144,,Services Locator
C144,,ea
E144,='Misc Subbie Rates_Master'!D42,130
F144,=E144*D144,0
B145,,Compaction Testing - TEST
C145,,ea
E145,='Misc Subbie Rates_Master'!D72,115
F145,=E145*D145,0
B146,,Compaction Testing - Site Establishment
C146,,ea
E146,='Misc Subbie Rates_Master'!D73,90
F146,=E146*D146,0
C147,,ea
F147,=E147*D147,0
C148,,ea
F148,=E148*D148,0
B149,,FIRE TESTING / CERT
C149,,ea
F149,=E149*D149,0
B150,,"FULL Hydro Test - Per Test (6.5Hr 1 x fitter, 1 x apprentice, 1 day Test gear)"
C150,,ea
E150,='Misc Subbie Rates_Master'!D84,1945
F150,=E150*D150,0
B151,,Provision of Form 72
C151,,ea
E151,='Misc Subbie Rates_Master'!D86,350
F151,=E151*D151,0
B154,,"Material - Quarry, Misc"
B156,='Material Rates_Master'!A185,Bedding / Fill Sand
C156,='Material Rates_Master'!B185,m3
E156,='Material Rates_Master'!D185,39.75
F156,=E156*D156,0
