cell,formula,cached_value
D153,,item
E153,,4600
F153,=C153*E153,4600
A154,,T04.3
B154,,Survey set-out
C154,,1
D154,,item
E154,,1725
F154,=C154*E154,1725
A155,,T04.4
B155,,As constructed survey
C155,,1
D155,,item
E155,,1725
F155,=C155*E155,1725
B156,,EROSION AND SEDIMENT CONTROL
A157,,T04.5
B157,,Allow for erosion and sediment control
C157,,1
D157,,item
E157,,2300
F157,=C157*E157,2300
B158,,EXCAVATION
B159,,Siteworks
A160,,T04.6
B160,,"Clear the site of all vegetable matter, debris, rubbish etc.; including trees <= 500 girth complete with stumps and roots, if required"
C160,,441
D160,,m2
E160,,5.4625
F160,=C160*E160,2408.9625
A161,,T04.7
B161,,"Excavate to remove top soil, average depth to be confirmed, if required"
C161,,441
D161,,m2
E161,,22.425
F161,=C161*E161,9889.425000000001
A163,,EXTERIOR ELEMENTS
A164,,Code
B164,,Description
C164,,Quantity
D164,,Unit
E164,,Rate
F164,,Total
B165,,GENERAL CLARIFICATIONS
A166,,T37.1
B166,,Generally refer drawing CQU-ROK-076-GN-ARC-21-00
D166,,Note
B167,,"ROADS, FOOTPATHS AND PAVED AREAS"
B168,,External Pavements
A169,,T37.2
B169,,Footpath finish to be confirmed
C169,,75
D169,,m2
E169,,143.75
F169,=C169*E169,10781.25
B170,,Internal Pavements
A171,,T37.3
B171,,Footpath finish to be confirmed; to propagation and greenhouse
C171,,114
D171,,m2
E171,,132.25
F171,=C171*E171,15076.5
B173,,Base BOQ Direct Civil Works
F173,"=SUM(F7:F23,F30:F49,F57:F65,F74,F85:F95,F103:F105,F116:F124,F131:F144,F153:F161,F169:F171)",1783474.625
B174,,Tender Completion / Risk Allowance (7.5%)
F174,=F173*0.075,133760.596875
B175,,Tender Value Excluding GST
F175,=F173+F174,1917235.221875
B176,,GST (10%)
F176,=F175*0.1,191723.52218750003
B177,,Tender Value Including GST
F177,=F175+F176,2108958.7440625
