cell,formula,cached_value
C201,,3
B202,,Furnished
C202,,YES
B203,,*Serviced
C203,,YES
B204,,Individual/Private BATHROOM
C204,,YES
B205,,Individual/Private KITCHEN (Cooking) Faciliities Available - Microwave min.
C205,,YES
B206,,Individual/Private LAUNDRY Facilities Available
C206,,YES
B207,,Individual/Private LOUNGE ROOM Facilities Available
C207,,YES
B208,,"** Pool, BBQ, Games etc etc?"
C209,,Sngl Night
D209,,Week
E209,,Month
F209,,Qtr
B210,,Total Booking Cost 
C210,=D210/7,328.57142857142856
D210,,2300
E210,=D210*4,9200
F210,=E210*3,27600
B212,,TCS Housing Consumables; …..
C212,=D212/7,0
D212,,0
E212,=D212*4,0
F212,=E212*3,0
B213,,TCS Laundry Allowance..?
C213,=D213/7,0
D213,,0
E213,=D213*4,0
F213,=E213*3,0
B214,,TCS Additional Meals Allowance (If no cooking Facilities?)
C214,=D214/7,0
D214,,0
E214,=D214*4,0
F214,=E214*3,0
B215,,TCS Furnishings?
C215,=D215/7,0
D215,,0
E215,=D215*4,0
F215,=E215*3,0
B216,,TCS Cleaning/Servincing Allowance?
C216,=D216/7,0
D216,,0
E216,=D216*4,0
F216,=E216*3,0
B218,,Total TCS Cost
C218,=SUM(C210:C217),328.57142857142856
D218,=SUM(D210:D217),2300
E218,=SUM(E210:E217),9200
F218,=SUM(F210:F217),27600
B219,,Total Cost Per Person
C219,=D219/7,109.52380952380952
D219,=D218/C201,766.6666666666666
E219,=D219*4,3066.6666666666665
F219,=E219*3,9200
A221,,Hidden
B221,,"1 x Unit, 3 x Room"
C221,,*UNIT/VILLA
D221,,Share Rooms
B222,,No. of persons stayng;
C222,,6
B223,,Furnished
C223,,YES
B224,,*Serviced
C224,,YES
B225,,Individual/Private BATHROOM
C225,,YES
B226,,Individual/Private KITCHEN (Cooking) Faciliities Available - Microwave min.
C226,,YES
B227,,Individual/Private LAUNDRY Facilities Available
C227,,YES
B228,,Individual/Private LOUNGE ROOM Facilities Available
C228,,YES
B229,,"** Pool, BBQ, Games etc etc?"
C230,,Sngl Night
D230,,Week
E230,,Month
F230,,Qtr
B231,,Total Booking Cost 
C231,=D231/7,378.57142857142856
D231,,2650
E231,=D231*4,10600
F231,=E231*3,31800
B233,,TCS Housing Consumables; …..
C233,=D233/7,0
D233,,0
E233,=D233*4,0
F233,=E233*3,0
B234,,TCS Laundry Allowance..?
C234,=D234/7,0
D234,,0
E234,=D234*4,0
F234,=E234*3,0
B235,,TCS Additional Meals Allowance (If no cooking Facilities?)
C235,=D235/7,0
D235,,0
E235,=D235*4,0
F235,=E235*3,0
B236,,TCS Furnishings?
C236,=D236/7,0
D236,,0
E236,=D236*4,0
F236,=E236*3,0
B237,,TCS Cleaning/Servincing Allowance?
C237,=D237/7,0
D237,,0
E237,=D237*4,0
F237,=E237*3,0
B239,,Total TCS Cost
C239,=SUM(C231:C238),378.57142857142856
D239,=SUM(D231:D238),2650
E239,=SUM(E231:E238),10600
F239,=SUM(F231:F238),31800
B240,,Total Cost Per Person
C240,=D240/7,63.095238095238095
D240,=D239/C222,441.6666666666667
E240,=D240*4,1766.6666666666667
F240,=E240*3,5300
B243,,Full Apartment / TownHouse (Private/AirBnB)
B244,,"1 x Unit, 3 x Room"
C244,,T'House
D244,,Share House'
B245,,No. of persons stayng;
C245,,3
B246,,Furnished
C246,,YES
B247,,*Serviced
C247,,YES
D247,,Fortnightly
B248,,Individual/Private BATHROOM
C248,,YES
D248,,2 of
B249,,Individual/Private KITCHEN (Cooking) Faciliities Available - Microwave min.
C249,,YES
B250,,Individual/Private LAUNDRY Facilities Available
C250,,YES
B251,,Individual/Private LOUNGE ROOM Facilities Available
C251,,YES
C253,,Sngl Night
D253,,Week
E253,,Month
F253,,Qtr
B254,,Total Booking Cost 
C254,=F254/90,144.44444444444446
D254,=E254/4,1083.3333333333333
E254,=F254/3,4333.333333333333
F254,,13000
B256,,TCS Housing Consumables; …..
C256,=F256/90,4.444444444444445
D256,=E256/4,33.333333333333336
E256,=F256/3,133.33333333333334
F256,,400
B257,,TCS Laundry Allowance..?
C257,=D257/7,0
D257,,0
E257,=D257*4,0
F257,=E257*3,0
