cell,formula,cached_value
F123,=I123*D123,1306.8000000000002
I123,,6
A124,,100mm RG Butterfly Valve Geared Wheel
B124,,ea
D124,='[3]240522_Supplier RFQ'!I136,169.4
F124,=I124*D124,1016.4000000000001
I124,,6
A126,,150mm H-Pattern Booster Assembly Complete
B126,,ea
D126,='[3]240522_Supplier RFQ'!I138,2350
F126,=I126*D126,2350
I126,,1
A127,,Booster Cabinet - Compl with doors and stickers
B127,,ea
D127,='[3]240522_Supplier RFQ'!I139,1155
F127,=I127*D127,1155
G127,,COMPLETED don’t edit
I127,,1
A129,,100mm Dual Pillar Hydrant Complete_ Flanged Base 1500 High w/landing Valves
B129,,ea
D129,='[3]240522_Supplier RFQ'!I141,365
F129,=I129*D129,19345
I129,,53
A130,,100mm Dual Pillar Hydrant Complete_ RG Base 1500 High w/landing Valves_OPTION
B130,,ea
D130,='[3]240522_Supplier RFQ'!I142,365
F130,=I130*D130,19345
I130,,53
A131,,65mm RG Landing Valve 
B131,,ea
D131,='[3]240522_Supplier RFQ'!I143,90
F131,=I131*D131,540
I131,,6
A132,,Red caps and chain - suit 65mm QLD Landing valve
B132,,ea
D132,='[3]240522_Supplier RFQ'!I144,5
F132,=I132*D132,30
G132,,COMPLETED don’t edit
I132,,6
A133,,36m Fire Hose Reel w/25mm isolation valve
B133,,ea
D133,='[3]240522_Supplier RFQ'!I145,125
F133,=I133*D133,625
I133,,5
A134,,"25mm Isolation Ball Valve (for fire hose reel) valve only, with hose nozzle latch"
B134,,ea
D134,='[3]240522_Supplier RFQ'!I146,39
F134,=I134*D134,3315
I134,,85
A136,,150mm FL Testable Double Check Valve - Compl. w/Valves
B136,,ea
D136,='[3]240522_Supplier RFQ'!L148,3100.7
F136,=I136*D136,3100.7
I136,,1
A137,,150mm FL RPZD Valve - Compl. w/Valves
B137,,ea
D137,='[3]240522_Supplier RFQ'!L149,4237.09
F137,=I137*D137,8474.18
G137,,COMPLETED don’t edit
I137,,2
A139,,100mm FL Levered Butterfly Vlave
B139,,ea
D139,='[3]240522_Supplier RFQ'!L151,114.44
F139,=I139*D139,1144.4
I139,,10
A140,,100mm Copper Crimp - TEE
B140,,ea
D140,='[3]240522_Supplier RFQ'!L152,219.36
F140,=I140*D140,1535.52
I140,,7
A141,,100mm Copper Crimp - 90Deg Bend
B141,,ea
D141,='[3]240522_Supplier RFQ'!L153,135.09
F141,=I141*D141,1080.72
I141,,8
A142,,100mm Copper Crimp - 45Deg Bend
B142,,ea
D142,='[3]240522_Supplier RFQ'!L154,125.77
F142,=I142*D142,754.62
G142,,COMPLETED don’t edit
I142,,6
A143,,100mm Copper Crimp - Straight Socket
B143,,ea
D143,='[3]240522_Supplier RFQ'!L155,83.25
F143,=I143*D143,999
I143,,12
A144,,100mm Copper Crimp - 100mm FL Adapter
B144,,ea
D144,='[3]240522_Supplier RFQ'!L156,52.25
F144,=I144*D144,627
I144,,12
A145,,80mm Copper Crimp - TEE
B145,,ea
D145,='[3]240522_Supplier RFQ'!L157,175.66
F145,=I145*D145,702.64
I145,,4
A146,,100mm*80mm Copper Crimp - REDUCER
B146,,ea
D146,='[3]240522_Supplier RFQ'!L158,164.08
F146,=I146*D146,820.4000000000001
I146,,5
G147,,COMPLETED don’t edit
A148,,32mm Fi Lockable Ball Valve
B148,,ea
D148,='[3]240522_Supplier RFQ'!L160,77.95
F148,=I148*D148,311.8
I148,,4
A149,,32mm Cu Crimp * 32mi Adapt
B149,,ea
D149,='[3]240522_Supplier RFQ'!L161,17.16
F149,=I149*D149,137.28
I149,,8
A150,,32mm Cu Crimp Coupling Straight
B150,,ea
D150,='[3]240522_Supplier RFQ'!L162,7.23
F150,=I150*D150,86.76
I150,,12
A151,,32mm Cu Crimp 90Deg Bend
B151,,ea
D151,='[3]240522_Supplier RFQ'!L163,14.31
F151,=I151*D151,85.86
I151,,6
A152,,32mm Cu Crimp 45Deg Bend
B152,,ea
D152,='[3]240522_Supplier RFQ'!L164,16.24
F152,=I152*D152,64.96
G152,,COMPLETED don’t edit
I152,,4
A153,,32mm*25mm Cu Crimp Reducer
B153,,ea
D153,='[3]240522_Supplier RFQ'!L165,14.36
F153,=I153*D153,57.44
I153,,4
A154,,25mm Fi Lockable Ball Valve
B154,,ea
D154,='[3]240522_Supplier RFQ'!L166,46.94
F154,=I154*D154,3989.8999999999996
I154,,85
A155,,25mm Cu Crimp * 25mi Adapt
B155,,ea
D155,='[3]240522_Supplier RFQ'!L167,8.46
F155,=I155*D155,1438.2
I155,,170
A156,,25mm Cu Crimp Coupling Straight
B156,,ea
D156,='[3]240522_Supplier RFQ'!L168,5.74
F156,=I156*D156,975.8000000000001
I156,,170
A157,,25mm Cu Crimp 90Deg Bend
B157,,ea
D157,,7.7
F157,=I157*D157,1309
G157,,COMPLETED don’t edit
I157,,170
A158,,25mm Cu Crimp 45Deg Bend
B158,,ea
D158,='[3]240522_Supplier RFQ'!L170,10.19
F158,=I158*D158,254.75
I158,,25
A160,,150mm Galv 2 Piece Weld-nut Bracket M12
B160,,ea
D160,='[3]240522_Supplier RFQ'!I172,5.86
F160,=I160*D160,468.8
I160,,80
A161,,100mm Galv 2 Piece Weld-nut Bracket M12
B161,,ea
D161,='[3]240522_Supplier RFQ'!I173,4.41
F161,=I161*D161,44.1
I161,,10
A162,,150 Galv 2 Piece Channel Clip
B162,,ea
D162,='[3]240522_Supplier RFQ'!I174,5.36
F162,=I162*D162,53.6
G162,,COMPLETED don’t edit
I162,,10
A163,,100 Galv 2 Piece Channel Clip
B163,,ea
D163,='[3]240522_Supplier RFQ'!I175,4.4
F163,=I163*D163,44
I163,,10
A164,,12mm Galv Threaded Rod
B164,,ea
D164,='[3]240522_Supplier RFQ'!I176,10.64
F164,=I164*D164,127.68
I164,,12
A165,,Galv Braced Counter Lever Bracket - 450Long
B165,,ea
D165,='[3]240522_Supplier RFQ'!I177,20
F165,=I165*D165,120
I165,,6
A166,,003 Padlock
B166,,ea
D166,='[3]240522_Supplier RFQ'!I178,19.5
F166,=I166*D166,390
I166,,20
A167,,100mm DI*DI Gasket Kit Complete
B167,,ea
D167,=D90,20
F167,=I167*D167,480
I167,,24
A169,,FIRE SERVICES - Misc. 
A170,,Description
B170,,Unit
D170,,Rate
F170,,Total
I170,,Qty
A171,,PE Pipe Scraper/Peeler - 125-250mmPE.Please detail Spec
B171,,ea
D171,,0
F171,=I171*D171,0
I171,,1
A172,,Electrofusion PE Welder 25-250mmPE. Please detail Spec
B172,,ea
D172,,0
F172,=I172*D172,0
I172,,1
A173,,PE Butt Welder. Automatic. 125-250mmPE. Please detail Spec
B173,,ea
D173,,0
F173,=I173*D173,0
I173,,1
A174,,Hand Roll Groover. 65-150mm.
B174,,ea
D174,,0
F174,=I174*D174,0
I174,,1
A175,,Delivery - To Rockhampton PIPE LENGTHS as quoted
B175,,ea
D175,='[3]240522_Supplier RFQ'!$I$189,2178.48
F175,=I175*D175,2178.48
I175,,1
A176,,Delivery - To Rockhampton Standard/Palletised items
B176,,ea
D176,='[3]240522_Supplier RFQ'!$I$189,2178.48
F176,=I176*D176,2178.48
I176,,1
A183,,Quarry / Gravels / Landscape
A184,,Description
B184,,Unit
D184,,Rate
F184,,Total
G184,,COMPLETED don’t edit
I184,,Qty
A185,,Bedding / Fill Sand
B185,,m3
D185,=[4]Concrete_Quarry!$J$16,39.75
F185,=I185*D185,32697.538305
I185,,822.57958
A186,,CBR 45/2.5 Roadbase
B186,,m3
D186,=[4]Concrete_Quarry!$J$17,41.9
F186,=I186*D186,419
I186,,10
