path,pages,status
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p3.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p4.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p5-legend.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p5.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p6.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p7.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p8.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Club house Architecture fixture count REV T1\FIXTURE COUNT CLUB HOUSE  p9.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\A H-B844~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\B H-2A67~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\C H-2FB8~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\D H-PAM-~1-legend.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\D H-PAM-~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\E H-PAM-~3.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\F H-PAM-~2-legend.pdf,2,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\F H-PAM-~2.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\G H-8810~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_ Public Amenities  Hydraulic  Rev T1\H-PAM-~4.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\A H-NBC-~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\B H-AF9C~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\C H-65D2~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\D H-47E7~1-legend.pdf,2,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\D H-47E7~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\E H-NBC-~4-legend.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\E H-NBC-~4.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\F H-9C93~1-legend.pdf,2,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\F H-9C93~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\G H-D2FA~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\H H-NBC-~2-legend.pdf,2,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\H H-NBC-~2.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\I H-7C9A~1-legend.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\I H-7C9A~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\J H-ACD6~1-legend.pdf,2,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\J H-ACD6~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\K H-NBC-~3.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_Clubhouse Hydraulic  Rev T1\L H-71E3~1.pdf,1,ok
TriCore Docs\Groundplan Take off\260701_SITE WORK CIVIL SW REV T1\260701 Sitework Civil SW Combine T1  p1-legend.pdf,2,ok
